#CYCLE MODE MOVEINDEX MOVE FRAME RMSD_ALL RMSD_FOLDED RGYR_ALL RGYR_FOLDED Z_ALL Z_FOLDED Z_NTER THET
1 PULL 1 A 0 NONE 3.593005E-15 13.2776 13.2776 -44.2209 -44.2209 -66.101 0
1 PULL 1 A 1 NONE 0.953377 13.3064 13.3064 -43.9089 -43.9089 -65.4444 1.50947
1 PULL 1 A 2 NONE 1.13932 13.3308 13.3308 -43.9412 -43.9412 -65.4787 1.66557
1 PULL 1 A 3 NONE 1.29015 13.2892 13.2892 -44.1299 -44.1299 -65.5848 2.33365
1 PULL 1 A 4 NONE 1.43891 13.2411 13.2411 -44.0084 -44.0084 -64.7315 4.27886
2 PULL 1 C 0 NONE 1.66406 13.2292 13.2292 -43.7168 -43.7168 -65.1624 11.7146
2 PULL 1 C 1 NONE 1.72978 13.2316 13.2316 -43.5989 -43.5989 -65.2546 11.9759
2 PULL 1 C 2 NONE 1.76317 13.2293 13.2293 -43.6073 -43.6073 -65.1085 12.4263
2 PULL 1 C 3 NONE 1.7897 13.0841 13.0841 -43.6947 -43.6947 -64.8218 13.0179
2 PULL 1 C 4 NONE 1.80629 13.1501 13.1501 -43.359 -43.359 -64.6503 12.0418
3 PULL 1 F 0 NONE 2.03456 13.1798 13.1798 -43.2143 -43.2143 -65.7092 19.7054
3 PULL 1 F 1 NONE 2.06279 13.0919 13.0919 -43.2737 -43.2737 -65.067 19.2948
3 PULL 1 F 2 NONE 1.98846 13.077 13.077 -43.2481 -43.2481 -65.1657 19.5491
3 PULL 1 F 3 NONE 1.89258 13.1035 13.1035 -43.4257 -43.4257 -65.3816 21.1979
3 PULL 1 F 4 NONE 2.06246 13.1296 13.1296 -43.6221 -43.6221 -64.7315 21.5098
4 PULL 1 C 0 NONE 2.11751 13.2947 13.2947 -44.5685 -44.5685 -65.3831 28.3227
4 PULL 1 C 1 NONE 1.97524 13.1752 13.1752 -44.5273 -44.5273 -65.0384 28.2974
4 PULL 1 C 2 NONE 2.09909 13.3212 13.3212 -44.2939 -44.2939 -64.9439 26.6066
4 PULL 1 C 3 NONE 2.09906 13.1548 13.1548 -44.2474 -44.2474 -64.8096 27.1356
4 PULL 1 C 4 NONE 2.03845 13.1816 13.1816 -44.1993 -44.1993 -64.4445 26.3702
5 PULL 1 F 0 NONE 2.16239 13.1223 13.1223 -42.8735 -42.8735 -64.8399 25.9144
5 PULL 1 F 1 NONE 2.12079 13.1335 13.1335 -43.1236 -43.1236 -64.6223 26.2283
5 PULL 1 F 2 NONE 2.23053 13.0915 13.0915 -43.0207 -43.0207 -64.8285 27.2992
5 PULL 1 F 3 NONE 2.15773 13.2276 13.2276 -43.2183 -43.2183 -64.7511 27.3618
5 PULL 1 F 4 NONE 2.19026 13.2101 13.2101 -43.3286 -43.3286 -65.1817 29.1476
6 PULL 1 A 0 NONE 2.29298 13.245 13.245 -43.0236 -43.0236 -64.1497 22.4899
6 PULL 1 A 1 NONE 2.29915 13.1971 13.1971 -42.7645 -42.7645 -64.6778 22.0704
6 PULL 1 A 2 NONE 2.34229 13.2045 13.2045 -42.7174 -42.7174 -63.8214 20.7985
6 PULL 1 A 3 NONE 2.19089 13.2675 13.2675 -42.9434 -42.9434 -64.4036 20.7263
6 PULL 1 A 4 NONE 2.3403 13.297 13.297 -43.1054 -43.1054 -63.7189 20.6342
7 PULL 1 C 0 NONE 2.37408 13.1273 13.1273 -41.6674 -41.6674 -63.7366 12.3222
7 PULL 1 C 1 NONE 2.26774 13.0756 13.0756 -41.8097 -41.8097 -63.9793 11.2191
7 PULL 1 C 2 NONE 2.24372 13.2232 13.2232 -41.7016 -41.7016 -64.2641 10.7255
7 PULL 1 C 3 NONE 2.2811 13.1304 13.1304 -41.587 -41.587 -63.658 9.519
7 PULL 1 C 4 NONE 2.2117 13.1657 13.1657 -41.4433 -41.4433 -64.086 9.63405
8 PULL 1 C 0 NONE 2.54304 13.1783 13.1783 -41.5899 -41.5899 -63.8924 15.5581
8 PULL 1 C 1 NONE 2.49207 13.1103 13.1103 -41.7135 -41.7135 -63.7871 15.8857
8 PULL 1 C 2 NONE 2.6231 13.3408 13.3408 -41.9198 -41.9198 -64.0464 15.5376
8 PULL 1 C 3 NONE 2.51763 13.3183 13.3183 -41.792 -41.792 -63.8323 15.328
8 PULL 1 C 4 NONE 2.50251 13.2628 13.2628 -41.7399 -41.7399 -64.6652 14.817
9 PULL 1 F 0 NONE 2.52987 13.1974 13.1974 -42.352 -42.352 -64.229 17.6722
9 PULL 1 F 1 NONE 2.56577 13.2865 13.2865 -42.4332 -42.4332 -64.0314 17.2141
9 PULL 1 F 2 NONE 2.71041 13.2928 13.2928 -42.2882 -42.2882 -63.9803 15.8716
9 PULL 1 F 3 NONE 2.62426 13.2877 13.2877 -42.3524 -42.3524 -64.8006 15.2578
9 PULL 1 F 4 NONE 2.70395 13.1974 13.1974 -42.3355 -42.3355 -64.0154 14.3393
10 PULL 1 F 0 NONE 2.57969 13.1214 13.1214 -41.8158 -41.8158 -63.383 10.8073
10 PULL 1 F 1 NONE 2.48242 13.1054 13.1054 -41.9885 -41.9885 -63.2017 10.886
10 PULL 1 F 2 NONE 2.47481 13.2227 13.2227 -41.9243 -41.9243 -63.6929 10.6946
10 PULL 1 F 3 NONE 2.30314 13.196 13.196 -41.8172 -41.8172 -64.2474 10.295
10 PULL 1 F 4 NONE 2.3295 13.2499 13.2499 -41.9125 -41.9125 -64.441 10.5535
