#CYCLE MODE MOVEINDEX MOVE FRAME RMSD_ALL RMSD_FOLDED RGYR_ALL RGYR_FOLDED Z_ALL Z_FOLDED Z_NTER THET
1 PULL 1 D 0 NONE 4.54076E-15 13.3013 13.3013 -44.1088 -44.1088 -66.472 0
1 PULL 1 D 1 NONE 0.978297 13.2253 13.2253 -44.4222 -44.4222 -65.9016 0.762002
1 PULL 1 D 2 NONE 1.13228 13.31 13.31 -44.4211 -44.4211 -66.0178 0.846312
1 PULL 1 D 3 NONE 1.31211 13.2692 13.2692 -44.2813 -44.2813 -65.3635 1.06194
1 PULL 1 D 4 NONE 1.40119 13.2429 13.2429 -44.0256 -44.0256 -65.2773 0.927894
2 PULL 1 C 0 NONE 1.75039 13.2001 13.2001 -43.7188 -43.7188 -65.373 8.64983
2 PULL 1 C 1 NONE 1.86829 13.242 13.242 -43.5609 -43.5609 -64.6087 9.08199
2 PULL 1 C 2 NONE 1.94128 13.1791 13.1791 -43.7413 -43.7413 -64.153 8.60403
2 PULL 1 C 3 NONE 1.80777 13.2622 13.2622 -43.6749 -43.6749 -65.1831 7.80357
2 PULL 1 C 4 NONE 1.99613 13.112 13.112 -43.7971 -43.7971 -64.5417 6.51156
3 PULL 1 F 0 NONE 2.27398 13.2409 13.2409 -43.9419 -43.9419 -64.3898 6.01734
3 PULL 1 F 1 NONE 2.28414 13.3124 13.3124 -44.1385 -44.1385 -65.2888 5.48259
3 PULL 1 F 2 NONE 2.29369 13.358 13.358 -44.2118 -44.2118 -65.0711 5.42795
3 PULL 1 F 3 NONE 2.30421 13.2967 13.2967 -44.3224 -44.3224 -64.8448 5.91355
3 PULL 1 F 4 NONE 2.25171 13.307 13.307 -44.3066 -44.3066 -64.8849 5.34613
4 PULL 1 A 0 NONE 2.42271 13.3131 13.3131 -43.2293 -43.2293 -65.431 12.4306
4 PULL 1 A 1 NONE 2.36875 13.2961 13.2961 -43.0957 -43.0957 -65.6063 12.6867
4 PULL 1 A 2 NONE 2.51401 13.2561 13.2561 -42.9351 -42.9351 -65.1423 13.4925
4 PULL 1 A 3 NONE 2.44098 13.3439 13.3439 -42.9719 -42.9719 -64.9314 13.5356
