#CYCLE MODE MOVEINDEX MOVE FRAME RMSD_ALL RMSD_FOLDED RGYR_ALL RGYR_FOLDED Z_ALL Z_FOLDED Z_NTER THET
1 PULL 1 D 0 NONE 3.273061E-15 13.5053 13.5053 -44.6869 -44.6869 -67.7954 0
1 PULL 1 D 1 NONE 1.09771 13.2925 13.2925 -44.7035 -44.7035 -66.4537 1.1467
1 PULL 1 D 2 NONE 1.24761 13.2873 13.2873 -44.3625 -44.3625 -65.6895 0.57502
1 PULL 1 D 3 NONE 1.39671 13.2914 13.2914 -44.1527 -44.1527 -65.709 1.40331
1 PULL 1 D 4 NONE 1.51856 13.2713 13.2713 -43.9298 -43.9298 -65.1605 2.47573
2 PULL 1 E 0 NONE 2.08996 13.1539 13.1539 -41.924 -41.924 -62.9766 8.5062
2 PULL 1 E 1 NONE 2.17253 13.1978 13.1978 -42.1838 -42.1838 -63.2106 9.16379
2 PULL 1 E 2 NONE 2.26574 13.0671 13.0671 -42.2798 -42.2798 -63.3618 9.33191
2 PULL 1 E 3 NONE 2.20412 13.1573 13.1573 -42.4547 -42.4547 -63.9887 9.57461
2 PULL 1 E 4 NONE 2.28024 13.1014 13.1014 -42.0082 -42.0082 -63.607 8.90506
3 PULL 1 A 0 NONE 1.97279 13.1687 13.1687 -41.0016 -41.0016 -64.9396 15.3437
3 PULL 1 A 1 NONE 1.99727 13.2579 13.2579 -40.9916 -40.9916 -65.1834 14.8088
3 PULL 1 A 2 NONE 2.00729 13.2376 13.2376 -41.0654 -41.0654 -65.878 14.9052
3 PULL 1 A 3 NONE 1.94262 13.2231 13.2231 -40.8725 -40.8725 -65.8115 15.2584
3 PULL 1 A 4 NONE 2.1193 13.1574 13.1574 -40.8389 -40.8389 -65.3402 14.3196
4 PULL 1 F 0 NONE 2.10833 13.1894 13.1894 -39.9055 -39.9055 -65.9059 22.5064
4 PULL 1 F 1 NONE 2.31973 13.0671 13.0671 -40.0427 -40.0427 -64.6809 22.5992
4 PULL 1 F 2 NONE 2.20298 13.1288 13.1288 -40.0486 -40.0486 -64.6555 23.3931
4 PULL 1 F 3 NONE 2.04027 13.1062 13.1062 -40.0553 -40.0553 -64.9096 23.7117
4 PULL 1 F 4 NONE 2.10858 13.1256 13.1256 -39.9548 -39.9548 -65.62 22.6684
5 PULL 1 D 0 NONE 2.54552 13.3271 13.3271 -39.8784 -39.8784 -64.0952 28.0571
5 PULL 1 D 1 NONE 2.52879 13.2426 13.2426 -39.9972 -39.9972 -64.0216 27.0611
5 PULL 1 D 2 NONE 2.41603 13.2015 13.2015 -40.0063 -40.0063 -64.0441 27.4433
5 PULL 1 D 3 NONE 2.47027 13.1042 13.1042 -40.0036 -40.0036 -63.7534 27.754
5 PULL 1 D 4 NONE 2.3664 13.1367 13.1367 -39.9943 -39.9943 -64.1368 26.7897
6 PULL 1 E 0 NONE 2.46134 12.9672 12.9672 -40.6424 -40.6424 -61.1657 27.7318
6 PULL 1 E 1 NONE 2.74916 12.9906 12.9906 -40.5604 -40.5604 -58.6474 28.3405
