NSC,ConcentrationUnit,LogHighConc,CellPanelName,CellLineName,CellPanelNbr,CellLineNbr,logValue,NumTestsNSCCellLine,NumofExp
733504,log10(M),-4.0,Leukemia,CCRF-CEM,7,3,-6.775,2,2
733504,log10(M),-4.0,Leukemia,HL-60(TB),7,8,-5.064,2,2
733504,log10(M),-4.0,Leukemia,K-562,7,5,-5.618,2,2
733504,log10(M),-4.0,Leukemia,MOLT-4,7,6,-6.977,2,2
733504,log10(M),-4.0,Leukemia,RPMI-8226,7,10,-8.0,2,2
733504,log10(M),-4.0,Leukemia,SR,7,19,-8.0,1,2
733504,log10(M),-4.0,Non-Small Cell Lung,A549/ATCC,1,4,-8.0,2,2
733504,log10(M),-4.0,Non-Small Cell Lung,EKVX,1,8,-8.0,2,2
733504,log10(M),-4.0,Non-Small Cell Lung,HOP-62,1,26,-8.0,1,2
733504,log10(M),-4.0,Non-Small Cell Lung,HOP-92,1,29,-7.702,1,2
733504,log10(M),-4.0,Non-Small Cell Lung,NCI-H226,1,13,-6.457,2,2
733504,log10(M),-4.0,Non-Small Cell Lung,NCI-H23,1,1,-6.488,2,2
733504,log10(M),-4.0,Non-Small Cell Lung,NCI-H322M,1,17,-6.654,2,2
733504,log10(M),-4.0,Non-Small Cell Lung,NCI-H460,1,21,-6.827,2,2
733504,log10(M),-4.0,Non-Small Cell Lung,NCI-H522,1,3,-6.787,2,2
733504,log10(M),-4.0,Colon,COLO 205,4,10,-4.91,2,2
733504,log10(M),-4.0,Colon,HCC-2998,4,2,-5.348,2,2
733504,log10(M),-4.0,Colon,HCT-116,4,3,-5.465,2,2
733504,log10(M),-4.0,Colon,HCT-15,4,15,-7.939,2,2
733504,log10(M),-4.0,Colon,HT29,4,1,-5.594,2,2
733504,log10(M),-4.0,Colon,KM12,4,17,-5.926,2,2
733504,log10(M),-4.0,Colon,SW-620,4,9,-5.071,2,2
733504,log10(M),-4.0,Central Nervous System,SF-268,12,14,-6.57,2,2
733504,log10(M),-4.0,Central Nervous System,SF-295,12,15,-8.0,1,2
733504,log10(M),-4.0,Central Nervous System,SF-539,12,16,-8.0,1,2
733504,log10(M),-4.0,Central Nervous System,SNB-19,12,2,-6.594,2,2
733504,log10(M),-4.0,Central Nervous System,SNB-75,12,5,-8.0,2,2
733504,log10(M),-4.0,Central Nervous System,U251,12,9,-7.968,2,2
733504,log10(M),-4.0,Melanoma,LOX IMVI,10,1,-8.0,2,2
733504,log10(M),-4.0,Melanoma,MALME-3M,10,2,-8.0,1,2
733504,log10(M),-4.0,Melanoma,M14,10,14,-5.506,2,2
733504,log10(M),-4.0,Melanoma,MDA-MB-435,5,11,-7.479,2,2
733504,log10(M),-4.0,Melanoma,SK-MEL-2,10,5,-6.53,2,2
733504,log10(M),-4.0,Melanoma,SK-MEL-28,10,8,-4.946,2,2
733504,log10(M),-4.0,Melanoma,SK-MEL-5,10,7,-5.756,2,2
733504,log10(M),-4.0,Melanoma,UACC-257,10,21,-5.231,1,2
733504,log10(M),-4.0,Melanoma,UACC-62,10,20,-6.467,2,2
733504,log10(M),-4.0,Ovarian,IGROV1,6,10,-8.0,1,2
733504,log10(M),-4.0,Ovarian,OVCAR-3,6,1,-8.0,2,2
733504,log10(M),-4.0,Ovarian,OVCAR-4,6,2,-7.906,2,2
733504,log10(M),-4.0,Ovarian,OVCAR-5,6,3,-8.0,1,2
733504,log10(M),-4.0,Ovarian,OVCAR-8,6,5,-6.939,2,2
733504,log10(M),-4.0,Ovarian,NCI/ADR-RES,5,2,-5.487,2,2
733504,log10(M),-4.0,Ovarian,SK-OV-3,6,11,-8.0,1,2
733504,log10(M),-4.0,Renal,786-0,9,18,-8.0,1,2
733504,log10(M),-4.0,Renal,A498,9,13,-8.0,2,2
733504,log10(M),-4.0,Renal,ACHN,9,23,-8.0,2,2
733504,log10(M),-4.0,Renal,CAKI-1,9,15,-6.841,2,2
733504,log10(M),-4.0,Renal,RXF 393,9,16,-8.0,2,2
733504,log10(M),-4.0,Renal,SN12C,9,8,-5.739,2,2
733504,log10(M),-4.0,Renal,TK-10,9,24,-8.0,1,2
733504,log10(M),-4.0,Renal,UO-31,9,4,-8.0,2,2
733504,log10(M),-4.0,Prostate,PC-3,11,1,-8.0,2,2
733504,log10(M),-4.0,Prostate,DU-145,11,3,-7.02,2,2
733504,log10(M),-4.0,Breast,MCF7,5,1,-8.0,2,2
733504,log10(M),-4.0,Breast,MDA-MB-231/ATCC,5,5,-4.935,1,2
733504,log10(M),-4.0,Breast,HS 578T,5,6,-8.0,2,2
733504,log10(M),-4.0,Breast,BT-549,5,13,-8.0,2,2
733504,log10(M),-4.0,Breast,T-47D,5,14,-8.0,2,2
733504,log10(M),-4.0,Breast,MDA-MB-468,5,18,-7.934,2,2
